06075657	4C	禦選唐宋詩醇	（清）乾隆	四庫全書薈要,集部,總集類,清	06075657,06075658,06075659,06075660,06075661,06075662,06075663,06075664,06075821,06075822,06075823,06075824,06075825,06075826,06075827,06075828,06075829,06075830,06075831,06075832,06075833,06075834
06048664	1J	洪武正韻	（明）樂昭鳳,（明）宋濂	四庫全書,經部,小學類,明	06048664,06048665,06048666,06048667,06048668,06048669,06048670
06053650	4B	內簡尺牘	（宋）孫覿	四庫全書,集部,別集類,宋	06053650,06053651,06053652
06050873	3N	真誥	（梁）陶洪景	四庫全書,子部,道家類,梁	06050873
06073783	4B	山谷集	（宋）黃庭堅	四庫全書薈要,集部,別集類,宋	06073783,06073784,06073785,06073786,06073787,06073788,06073789,06073790,06073791,06073792
06052001	3E	銀海精微	（唐）孫思邈	四庫全書,子部,醫家類,唐	06052001,06052002
06052003	3E	顱顖經		四庫全書,子部,醫家類,宋	06052003
06056234	2B	大事記	（宋）吕祖謙	四庫全書,史部,編年類,宋	06056234,06056235,06056236
06052006	3E	博濟方	（宋）王袞	四庫全書,子部,醫家類,宋	06052006,06052007,06052008,06052009
06056238	2B	大事記解題	（宋）吕祖謙	四庫全書,史部,編年類,宋	06056238,06056239,06056240,06056241,06056242,06056243,06056244,06056245,06056246,06056247
06064700	1B	書纂言	（元）吳澄	四庫全書,經部,書類,元	06064700,06064701,06064702,06064703
06042283	4B	魯齊遺書	（元）許衡	四庫全書,集部,別集類,宋	06042283,06042284,06042285,06042286,06042287,06042288
06063128	1A	易圖明辨	（清）胡渭	四庫全書,經部,易類,清	06063128,06063129,06063130,06063131,06063132
06064704	1B	書集傳纂疏	（元）陳櫟	四庫全書,經部,書類,元	06064704,06064705,06064706,06064707,06064708,06064709,06064710
06043635	1G	經說	（元）熊朋來	四庫全書,經部,五經總義類,元	06043635,06043636,06043637
06075370	1A	御纂周易折中	（清）康熙聖祖仁皇帝	四庫全書薈要,经部,易類,清	06075370,06075371,06075372,06075373,06075374,06075375,06075376,06075377,06075378,06075379,06075380,06075381,06075382
06073973	4B	龍川集	（宋）陳亮	四庫全書薈要,集部,別集類,宋	06073973,06073974,06073975,06073976,06073977,06073978,06073979,06073980,06074318
06064493	1A	周易函書別集	（清）胡煦	四庫全書,經部,易類,清	06064493,06064494,06064495,06064496,06064497,06064498,06064499,06064500
